,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
0,RoastLegofLamb&HerbJus,4oz,192,7.3,78,75.8,4.7,25.6
1,RoastLegofLamb&HerbJus,4oz,213,8.2,87.8,83.2,4.7,28.8
2,RoastLegofLamb,4oz,176,7.1,78,118.2,0.6,25.2
3,RoastLamb,6oz,241,10.7,111.1,128.4,0.8,33.3
4,LambStew,8oz,242,9.9,58.7,500.2,16.4,20.5
5,CurriedLamb,8oz,242,9.9,58.7,500.2,16.4,20.5
6,Beef&PotatoCurrywithToastedAlmonds,8oz,304,14.9,44.6,322.4,21,22.9
7,IndianCurryLamb,4oz,297,17.1,71.1,180.4,10,24.4
8,BraisedLambShanks,4oz,561,25.9,196.4,1754.6,19.9,54.4
9,SwedishLambStewwithDillSauce,8oz,286,13.5,111.4,570.4,8.4,30.7
10,Shallot&GarlicStuffedRoastLambwithMintJus,4oz,215,7.8,87.8,88.9,5.7,29
11,LambVindaloo,4oz,328,9.4,78,246.8,20.2,27.1
12,LegofLambonArugula,1each,244,11,52,735.2,15.3,23.8
13,GrilledLambChops,1each,7,0.8,0,36.3,0.1,0
14,Shepherd'sPie,8oz,414,24.2,96.3,115.2,20.4,26.9
15,LegofLambonArugula,1each,232,11.6,52.7,727.7,11.1,23
16,Thai-CurriedLambShanks,4oz,461,31.2,120.2,954.2,10.5,34.2
17,IrishLambStew,4oz,162,6.9,56.3,67.2,3,18.2
18,SlicedLegofLambwithSwissChard&Fennel,8oz,341,17,115.8,238,7.4,36.9
19,JerkChickenWings,8each,333,21.3,158,272.8,8.8,23.2
20,ChickenFettucini,8oz,557,15.5,51.7,469.7,78.1,22.9
21,HoneyPecanChicken,1each,273,13.9,94.5,65,8.6,27.6
22,MediterraneanChicken,2each,435,23.3,166.1,402.3,9.4,44.2
23,ChickenRomanoDiPollowithCanadianBacon,6oz,277,12.7,101.6,324.1,2.6,35.7
24,ChickenStirFry&Vegetables,6oz,215,6,77.7,549.8,8.1,30.5
25,BreadedFriedChicken,2each,292,24.7,17.8,532.1,16.7,3.3
26,BakedChicken,2each,483,29.1,170.8,505.5,15.1,37.9
27,GrilledChickenwithPeaches,1each,71,7.1,0,7.1,2.1,0.3
28,ChickenKiev,1each,540,38,140,620,19,28
29,MrTaylor'sChicken,1each,303,13.1,102.3,712.1,7.6,38.3
30,ChickenFajitas,1each,258,11.1,51,214,21.9,17.2
31,ChickenRavioliNutritionalInformationisnotavailableforthisrecipe.,,,,,,,
32,Chicken&MushroomPastaPurse,4oz,284,6.8,60.8,526.5,43.2,16.2
33,ChickenSausage,1each,187,10.7,73.4,773.8,1.3,21.3
34,CantoneseChicken,1each,315,11.3,95.3,547,16.1,35.2
35,GeneralTsoChicken,5oz,375,16.5,88,2775.7,23.7,30.1
36,ChickenNuggets,6each,542,34.7,58.3,1482.1,39.2,19.3
37,CranberryChicken,1each,273,11.2,95.3,190.7,16.9,34
38,SouthwesternChicken&Pasta,8oz,293,3.7,64.3,253.9,32.2,25.9
39,CornflakeCrustedChicken,2each,655,36.9,182,1713.1,30.2,48.9
40,ChickenMcNare,1each,192,9.4,132.5,102.2,0,25.1
41,CitronChicken,1each,320,13.5,95.3,88.4,16.9,34.3
42,Pan-AsianOrangeChicken,4oz,342,12.9,66.2,66.9,35.7,26.8
43,ChickenPotPie,1each,200,8.4,32.5,280.7,16,15.3
44,ChickenFriedRice,4oz,183,7.3,21.3,929.1,18.3,10.1
45,ChickenLoMein,8oz,593,12.1,32.9,3640.8,79.6,35.3
46,JerkChicken,1each,223,11.1,102.1,120.8,0.5,28.5
47,ChickenwithBroccoli&Cheese,1each,230,13,50,440,12,16
48,TurkeyLegs&Thighs,1each,170,8.3,72.4,847.7,0,23.8
49,WholeRoastedTurkey,4oz,277,7.5,0,577.6,1.5,46.3
50,GrilledBell&EvansChicken,1each,107,2.1,48,426.7,1.1,20.3
51,LemonTurkeyCutlet,4oz,144,6.5,46.8,134.4,3.7,16.8
52,JerkChicken,1each,226,11.1,102.1,212.7,1.2,28.6
53,ChickenKaBob,1each,298,13.6,96.4,413.5,5.6,37.1
54,StirFriedChicken&VegetableLoMein,8oz,359,6.2,52.3,1666.5,42.7,29
55,GrilledChickenBreast,4oz,196,4.7,96.4,87.2,0.6,35.2
